Confirmed,Date,Deaths,Postcode,Recovered
5,25-Mar,0,2290,0
3,25-Mar,0,2566,2
2,25-Mar,0,2300,1
2,25-Mar,0,2540,0
3,25-Mar,0,2196,1
4,25-Mar,0,2219,0
1,25-Mar,0,2206,1
1,25-Mar,0,2050,0
1,25-Mar,0,2446,1
13,25-Mar,0,2170,3
8,25-Mar,0,2077,5
2,25-Mar,0,2197,1
1,25-Mar,0,2780,0
1,25-Mar,0,2660,0
3,25-Mar,0,2421,1
3,25-Mar,0,2541,1
3,25-Mar,0,2064,2
6,25-Mar,0,2207,3
2,25-Mar,0,2327,0
7,25-Mar,0,2171,1
10,25-Mar,0,2567,4
1,25-Mar,0,2291,0
2,25-Mar,0,2208,0
15,25-Mar,0,2065,6
5,25-Mar,0,2444,0
3,25-Mar,0,2324,0
4,25-Mar,0,2577,1
1,25-Mar,0,2564,1
1,25-Mar,0,2431,0
4,25-Mar,0,2087,3
5,25-Mar,0,2074,2
2,25-Mar,0,2194,0
2,25-Mar,0,2217,0
1,25-Mar,0,2061,0
5,25-Mar,0,2204,1
1,25-Mar,0,2337,0
25,25-Mar,0,2088,5
1,25-Mar,0,2565,0
4,25-Mar,0,2075,0
3,25-Mar,0,2218,0
2,25-Mar,0,2062,0
1,25-Mar,0,2205,0
10,25-Mar,0,2325,2
6,25-Mar,0,2089,2
3,25-Mar,0,2076,1
1,25-Mar,0,9990,1
1,25-Mar,0,2335,0
6,25-Mar,0,2322,1
5,25-Mar,0,2575,4
3,25-Mar,0,2085,1
2,25-Mar,0,2228,0
5,25-Mar,0,2072,3
8,25-Mar,0,2099,1
6,25-Mar,0,2060,4
5,25-Mar,0,2576,3
2,25-Mar,0,2203,1
6,25-Mar,0,2323,0
2,25-Mar,0,2456,0
9,25-Mar,0,2430,0
1,25-Mar,0,2443,0
11,25-Mar,0,2229,1
1,25-Mar,0,2086,1
2,25-Mar,0,2073,1
4,25-Mar,0,2193,2
3,25-Mar,0,2216,0
6,25-Mar,0,2800,3
1,25-Mar,0,2550,0
1,25-Mar,0,2790,1
2,25-Mar,0,2479,1
2,25-Mar,0,2226,0
1,25-Mar,0,2213,1
4,25-Mar,0,2070,0
1,25-Mar,0,2333,0
2,25-Mar,0,2190,0
5,25-Mar,0,2200,2
4,25-Mar,0,2096,1
7,25-Mar,1,2119,3
3,25-Mar,0,2106,1
1,25-Mar,0,2810,0
6,25-Mar,0,2320,1
1,25-Mar,0,2680,0
11,25-Mar,0,2560,3
2,25-Mar,0,2071,1
4,25-Mar,0,2191,0
4,25-Mar,0,2321,1
1,25-Mar,0,7320,1
5,25-Mar,0,2097,1
2,25-Mar,0,2107,1
2,25-Mar,0,2084,0
5,25-Mar,0,2227,0
5,25-Mar,0,2535,1
1,25-Mar,0,2309,0
2,25-Mar,0,2033,1
6,25-Mar,0,2153,1
1,25-Mar,0,2286,0
2,25-Mar,0,2020,0
3,25-Mar,0,2140,1
1,25-Mar,0,2299,0
4,25-Mar,0,2046,1
5,25-Mar,0,2750,0
8,25-Mar,0,2260,3
3,25-Mar,0,2536,0
9,25-Mar,0,2763,3
1,25-Mar,0,2643,1
1,25-Mar,0,2154,0
12,25-Mar,0,2287,2
18,25-Mar,0,2021,5
3,25-Mar,0,2141,0
4,25-Mar,0,2261,2
2,25-Mar,0,2047,1
5,25-Mar,0,2034,4
2,25-Mar,0,2640,1
2,25-Mar,0,2773,0
6,25-Mar,0,2760,2
2,25-Mar,0,2150,1
10,25-Mar,0,2283,0
1,25-Mar,0,2546,0
1,25-Mar,0,2786,0
3,25-Mar,0,2533,1
3,25-Mar,0,2799,0
2,25-Mar,0,2297,0
2,25-Mar,0,2044,0
2,25-Mar,0,2427,0
18,25-Mar,0,2031,3
2,25-Mar,0,2164,0
2,25-Mar,0,2151,1
1,25-Mar,0,2284,0
1,25-Mar,0,2761,0
2,25-Mar,0,2641,0
1,25-Mar,0,2774,0
3,25-Mar,0,2298,1
2,25-Mar,0,2032,1
2,25-Mar,0,2152,0
2,25-Mar,0,2285,1
7,25-Mar,0,2548,1
11,25-Mar,0,2428,2
5,25-Mar,0,2041,0
2,25-Mar,0,2317,0
2,25-Mar,0,2304,0
3,25-Mar,0,2281,1
1,25-Mar,0,2557,0
10,25-Mar,0,2068,1
7,25-Mar,0,2042,2
2,25-Mar,0,2318,0
1,25-Mar,0,0,0
2,25-Mar,0,2558,1
3,25-Mar,0,2305,0
1,25-Mar,0,2425,1
4,25-Mar,0,2162,2
